원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
'자귀모'의 감독은(는) 누구인가요?	자귀모'의 감독은(는) 이광훈 (1959년)(이)에요.	자귀모는 누가 만들었나요?	자귀모는 이광훈 감독이 만들었어요.	이광훈 (1959년)	감독	자귀모	자귀모'의 감독은(는) 이광훈 (1959년)(이)에요.	자귀모는 이광훈 감독이 만들었어요.	480	"O,O,O"
'오구'의 감독은(는) 누구인가요?	'오구'의 감독은(는) 이윤택(이)에요.	오구는 누가 만든작품인가요?	이윤택 감독이 오구를 만들었어요	이윤택	감독	오구	'오구'의 감독은(는) 누구인가요?	오구는 누가 만든작품인가요?	533	"O,O,A"
오디션 (1997년 영화)'의 감독은(는) 누구인가요?	오디션 (1997년 영화)'의 감독은(는) 이경민(이)에요.	오디션에서 감독을 맡은 인물은 누구인가요?	영화 오디션에서 이경민이 감독을 맡았어요	이경민	감독	오디션 (1997년 영화)	오디션 (1997년 영화)'의 감독은(는) 이경민(이)에요.	영화 오디션에서 이경민이 감독을 맡았어요	470	"A,O,O"
미스 김'의 감독은(는) 누구인가요?	미스 김'의 감독은(는) 박호태(이)에요.	미스 김'은 누가 감독을 했나요?	미스 김'은 박호태가 감독을 맡았어요.	박호태	감독	미스 김	미스 김'의 감독은(는) 누구인가요?	미스 김'은 누가 감독을 했나요?	289	"O,O,O"
포모서 비트레이드'의 감독은(는) 누구인가요?	포모서 비트레이드'의 감독은(는) 애덤 케인(이)에요.	포모서 비트레이드은 누가 연출했나요?	애덤 케인은 포모서 비트레이드의 감독이에요.	애덤 케인	감독	포모서 비트레이드	포모서 비트레이드'의 감독은(는) 애덤 케인(이)에요.	애덤 케인은 포모서 비트레이드의 감독이에요.	394	"O,O,O"
관제탑 (영화)'의 감독은(는) 누구인가요?	관제탑 (영화)'의 감독은(는) 미키 다카히로(이)에요.	관제탑을 지휘해서 만든 사람은 누구인가요?	관제탑은 미키 다카히로가 지휘해서 만들었어요.	미키 다카히로	감독	관제탑 (영화)	관제탑 (영화)'의 감독은(는) 미키 다카히로(이)에요.	관제탑은 미키 다카히로가 지휘해서 만들었어요.	234	"A,O,O"
카우보이 비밥 천국의 문'의 감독은(는) 누구인가요?	카우보이 비밥 천국의 문'의 감독은(는) 와타나베 신이치로(이)에요.	카우보이 비밥 천국의 문'의 연출가는 누구인가요?	카우보이 비밥 천국의 문'의 연출가는 와타나베 신이치로에요.	와타나베 신이치로	감독	카우보이 비밥 천국의 문	카우보이 비밥 천국의 문'의 감독은(는) 누구인가요?	카우보이 비밥 천국의 문'의 연출가는 누구인가요?	433	"A,O,A"
형 (1984년 영화)'의 감독은(는) 누구인가요?	형 (1984년 영화)'의 감독은(는) 이상언(이)에요.	영화 형(1984)의 감독이 누군지 아시나요?	영화 형(1984)의 감독은 이상언이에요	이상언	감독	형 (1984년 영화)	형 (1984년 영화)'의 감독은(는) 이상언(이)에요.	영화 형(1984)의 감독은 이상언이에요	494	"O,O,O"
그 남자의 책 198쪽'의 감독은(는) 누구인가요?	그 남자의 책 198쪽'의 감독은(는) 김정권(이)에요.	그 남자의 책 198쪽'의 책임자는 누구인가요?	김정권이 그 남자의 책 198쪽'을 감독해요	김정권	감독	그 남자의 책 198쪽	그 남자의 책 198쪽'의 감독은(는) 누구인가요?	그 남자의 책 198쪽'의 책임자는 누구인가요?	107	"X,A,O"
레나 (영화)'의 감독은(는) 누구인가요?	레나 (영화)'의 감독은(는) 김도원(이)에요.	레나(영화)를 총 감독한 사람은 누구인가요?	레나(영화)을 총 감독한 사람은 김도원이에요.	김도원	감독	레나 (영화)	레나 (영화)'의 감독은(는) 김도원(이)에요.	레나(영화)을 총 감독한 사람은 김도원이에요.	62	"A,A,O"
'개똥이'의 감독은(는) 누구인가요?	'개똥이'의 감독은(는) 김병준(이)에요.	'개똥이'를 만든 사람은 누구인가요?	'개똥이'를 만든 사람은 김병준이에요.	김병준	감독	개똥이	'개똥이'의 감독은(는) 김병준(이)에요.	'개똥이'를 만든 사람은 김병준이에요.	70	"X,O,O"
3일낮 3일밤'의 감독은(는) 누구인가요?	3일낮 3일밤'의 감독은(는) 이원세(이)에요.	3일낮 3일밤'은 누구의 작품인가요?	3일낮 3일밤'은 이원세감독이 만들었어요	이원세	감독	3일낮 3일밤	3일낮 3일밤'의 감독은(는) 누구인가요?	3일낮 3일밤'은 누구의 작품인가요?	521	"A,O,O"
미스 줄리 (2014년 영화)'의 감독은(는) 누구인가요?	미스 줄리 (2014년 영화)'의 감독은(는) 리브 울만(이)에요.	2014년 영화 미스 줄리는 누가 감독했나요?	2014년 영화 미스 줄리는 리브 울만이 감독이에요.	리브 울만	감독	미스 줄리 (2014년 영화)	미스 줄리 (2014년 영화)'의 감독은(는) 누구인가요?	2014년 영화 미스 줄리는 누가 감독했나요?	201	"O,O,O"
'허풍'의 감독은(는) 누구인가요?	'허풍'의 감독은(는) 공자관(이)에요.	허풍은 누가 감독인가요?	허풍은 공자관이 감독이에요.	공자관	감독	허풍	'허풍'의 감독은(는) 누구인가요?	허풍은 누가 감독인가요?	27	"O,X,O"
슈퍼스타 감사용'의 감독은(는) 누구인가요?	슈퍼스타 감사용'의 감독은(는) 김종현 (영화인)(이)에요.	슈퍼스타 감사용을 제작한 감독은 누구인가요?	슈퍼스타 감사용은 김종현(영화인) 감독에 의해 제작되었어요.	김종현 (영화인)	감독	슈퍼스타 감사용	슈퍼스타 감사용'의 감독은(는) 김종현 (영화인)(이)에요.	슈퍼스타 감사용은 김종현(영화인) 감독에 의해 제작되었어요.	114	"X,O,O"
복숭아나무 (영화)'의 감독은(는) 누구인가요?	복숭아나무 (영화)'의 감독은(는) 구혜선(이)에요.	누가 복숭아나무의 감독인가요?	구혜선이 복숭아나무의 감독이에요.	구혜선	감독	복숭아나무 (영화)	복숭아나무 (영화)'의 감독은(는) 누구인가요?	누가 복숭아나무의 감독인가요?	35	"O,O,O"
그 후로도 오랫동안'의 감독은(는) 누구인가요?	그 후로도 오랫동안'의 감독은(는) 곽지균(이)에요.	'그 후로도 오랫동안'은 누가 감독을 했나요?	'그 후로도 오랫동안'은 곽지균이 감독한거예요.	곽지균	감독	그 후로도 오랫동안	그 후로도 오랫동안'의 감독은(는) 곽지균(이)에요.	'그 후로도 오랫동안'은 곽지균이 감독한거예요.	30	"O,O,O"
각설이 품바 타령'의 감독은(는) 누구인가요?	각설이 품바 타령'의 감독은(는) 남기남(이)에요.	각설이 품바 타령을 진두지휘한 사람은 누구인가요?	각설이 품바 타령을 진두지휘한 사람은 남기남이예요	남기남	감독	각설이 품바 타령	각설이 품바 타령'의 감독은(는) 누구인가요?	각설이 품바 타령을 진두지휘한 사람은 누구인가요?	155	"A,A,X"
위자료 (영화)'의 감독은(는) 누구인가요?	위자료 (영화)'의 감독은(는) 김수용 (영화 감독)(이)에요.	영화 위자료는 누가 감독인가요?	위자료는 김수용 감독의 영화예요.	김수용 (영화 감독)	감독	위자료 (영화)	위자료 (영화)'의 감독은(는) 김수용 (영화 감독)(이)에요.	위자료는 김수용 감독의 영화예요.	88	"O,A,O"
'개똥이'의 감독은(는) 누구인가요?	'개똥이'의 감독은(는) 김병준(이)에요.	'개똥이'의 연출가는 누구인가요?	'개똥이'는 김병준이 연출했어요.	김병준	감독	개똥이	'개똥이'의 감독은(는) 김병준(이)에요.	'개똥이'는 김병준이 연출했어요.	72	"O,O,O"
똑바로 살아라 (1997년 영화)'의 감독은(는) 누구인가요?	똑바로 살아라 (1997년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	똑바로 살아라 (1997년 영화)'를 연출한 사람은 누구인가요?	이상우가 똑바로 살아라 (1997년 영화)'를 연출했어요.	이상우 (영화 감독)	감독	똑바로 살아라 (1997년 영화)	똑바로 살아라 (1997년 영화)'의 감독은(는) 누구인가요?	똑바로 살아라 (1997년 영화)'를 연출한 사람은 누구인가요?	499	"O,O,O"
위도 (영화)'의 감독은(는) 누구인가요?	위도 (영화)'의 감독은(는) 백정민(이)에요.	위도(영화)의 연출가는 누구일까요?	백정민감독이 위도(영화)를 연출했어요.	백정민	감독	위도 (영화)	위도 (영화)'의 감독은(는) 백정민(이)에요.	백정민감독이 위도(영화)를 연출했어요.	312	"O,O,O"
서울의 달빛'의 감독은(는) 누구인가요?	서울의 달빛'의 감독은(는) 김문옥(이)에요.	서울의 달빛은 누가 만들었나요?	서울의 달빛은 김문옥감독이 만들었어요	김문옥	감독	서울의 달빛	서울의 달빛'의 감독은(는) 김문옥(이)에요.	서울의 달빛은 김문옥감독이 만들었어요	66	"O,O,O"
'48미터'의 감독은(는) 누구인가요?	'48미터'의 감독은(는) 민백두(이)에요.	영화 48미터를 제작한 사람은 누구인가요?	영화 48미터를 제작한 사람은 민백두에요.	민백두	감독	48미터	'48미터'의 감독은(는) 누구인가요?	영화 48미터를 제작한 사람은 누구인가요?	237	"O,O,A"
비열한 거리 (2006년 영화)'의 감독은(는) 누구인가요?	비열한 거리 (2006년 영화)'의 감독은(는) 유하(이)에요.	비열한 거리(2006년 영화) 제작을 총괄해서 맡은 사람은 누구인가요?	비열한 거리(2006년 영화)에서 유하는 감독을 맡았어요.	유하	감독	비열한 거리 (2006년 영화)	비열한 거리 (2006년 영화)'의 감독은(는) 누구인가요?	비열한 거리(2006년 영화) 제작을 총괄해서 맡은 사람은 누구인가요?	447	"O,O,X"
'48미터'의 감독은(는) 누구인가요?	'48미터'의 감독은(는) 민백두(이)에요.	48미터 라는 영화를 제작한 이는 누구인가요?	48미터 라는 영화를 제작한 이는 민백두에요.	민백두	감독	48미터	'48미터'의 감독은(는) 누구인가요?	48미터 라는 영화를 제작한 이는 누구인가요?	239	"O,O,A"
대남 (영화)'의 감독은(는) 누구인가요?	대남 (영화)'의 감독은(는) 김시현(이)에요.	대남을 만든 사람은 누구인가요?	대남을 만든 사람은 김시현이에요.	김시현	감독	대남 (영화)	대남 (영화)'의 감독은(는) 김시현(이)에요.	대남을 만든 사람은 김시현이에요.	92	"O,A,A"
'어떤살인'의 감독은(는) 누구인가요?	'어떤살인'의 감독은(는) 안용훈(이)에요.	'어떤살인'을 지휘하여 촬영한 사람은 누구인가요?	'어떤살인'을 지휘하여 촬영한 사람은 안용훈 이에요	안용훈	감독	어떤살인	'어떤살인'의 감독은(는) 누구인가요?	'어떤살인'을 지휘하여 촬영한 사람은 누구인가요?	389	"O,X,O"
더 폰'의 감독은(는) 누구인가요?	더 폰'의 감독은(는) 김봉주(이)에요.	더 폰은 누가 만들었나요?	더 폰은 김봉주 감독이 만들었어요.	김봉주	감독	더 폰	더 폰'의 감독은(는) 누구인가요?	더 폰은 누가 만들었나요?	75	"O,A,O"
맨홀 (영화)'의 감독은(는) 누구인가요?	맨홀 (영화)'의 감독은(는) 신재영(이)에요.	맨홀(영화)감독은 어떻게 되나요?	신재영은 영화 맨홀의 감독이예요.	신재영	감독	맨홀 (영화)	맨홀 (영화)'의 감독은(는) 누구인가요?	맨홀(영화)감독은 어떻게 되나요?	351	"X,O,O"
내 사랑 싸가지 (영화)'의 감독은(는) 누구인가요?	내 사랑 싸가지 (영화)'의 감독은(는) 신동엽 (영화감독)(이)에요.	내 사랑 싸가지는 누가 감독했나요?	신동엽이 내 사랑 싸가지를 감독했어요.	신동엽 (영화감독)	감독	내 사랑 싸가지 (영화)	내 사랑 싸가지 (영화)'의 감독은(는) 누구인가요?	내 사랑 싸가지는 누가 감독했나요?	329	"O,O,O"
'NANA'의 감독은(는) 누구인가요?	NANA'의 감독은(는) 오오타니 켄타로(이)에요.	NANA의 감독 이름은 무엇인가요?	NANA의 감독 이름은 오오타니 켄타로예요.	오오타니 켄타로	감독	NANA	'NANA'의 감독은(는) 누구인가요?	NANA의 감독 이름은 무엇인가요?	421	"O,O,O"
죽으면 살리라'의 감독은(는) 누구인가요?	죽으면 살리라'의 감독은(는) 강대진(이)에요.	죽으면 살리라를 만든 사람은 누구인가요?	강대진은 죽으면 살리라의 감독이에요	강대진	감독	죽으면 살리라	죽으면 살리라'의 감독은(는) 강대진(이)에요.	강대진은 죽으면 살리라의 감독이에요	6	"O,O,O"
와일드 카드 (2003년 영화)'의 감독은(는) 누구인가요?	와일드 카드 (2003년 영화)'의 감독은(는) 김유진 (배우)(이)에요.	와일드 카드(2003년 영화)는 누가 만들었나요?	와일드 카드(2003년 영화)는 김유진(배우)이 만들었어요.	김유진 (배우)	감독	와일드 카드 (2003년 영화)	와일드 카드 (2003년 영화)'의 감독은(는) 김유진 (배우)(이)에요.	와일드 카드(2003년 영화)는 김유진(배우)이 만들었어요.	100	"O,O,A"
할아버지는 멋쟁이'의 감독은(는) 누구인가요?	할아버지는 멋쟁이'의 감독은(는) 김강윤(이)에요.	누가 할아버지는 멋쟁이를 감독했나요?	김강윤 감독이 할아버지는 멋쟁이를 감독했어요.	김강윤	감독	할아버지는 멋쟁이	할아버지는 멋쟁이'의 감독은(는) 김강윤(이)에요.	김강윤 감독이 할아버지는 멋쟁이를 감독했어요.	42	"O,O,O"
불새의 춤'의 감독은(는) 누구인가요?	불새의 춤'의 감독은(는) 강대하(이)에요.	불새의 춤'을 제작한 감독은 누구에요?	불새의 춤'을 제작한 감독은 강대하에요.	강대하	감독	불새의 춤	불새의 춤'의 감독은(는) 강대하(이)에요.	불새의 춤'을 제작한 감독은 강대하에요.	12	"O,O,O"
각설이 품바 타령'의 감독은(는) 누구인가요?	각설이 품바 타령'의 감독은(는) 남기남(이)에요.	각설이 품바 타령은 누가 감독인가요?	각설이 품바 타령은 남기남이 감독해요	남기남	감독	각설이 품바 타령	각설이 품바 타령'의 감독은(는) 누구인가요?	각설이 품바 타령은 누가 감독인가요?	153	"O,O,O"
형 (1984년 영화)'의 감독은(는) 누구인가요?	형 (1984년 영화)'의 감독은(는) 이상언(이)에요.	형(1984년 영화)의 감독이 누군지 아시는지요?	형(1984년 영화)의 감독은 이상언이지요	이상언	감독	형 (1984년 영화)	형 (1984년 영화)'의 감독은(는) 누구인가요?	형(1984년 영화)의 감독이 누군지 아시는지요?	495	"O,O,O"
어바웃 타임'의 감독은(는) 누구인가요?	어바웃 타임'의 감독은(는) 리처드 커티스(이)에요.	어바웃 타임은 누가 제작했나요?	어바웃 타임은 리처드 커티스가 만들었어요.	리처드 커티스	감독	어바웃 타임	어바웃 타임'의 감독은(는) 누구인가요?	어바웃 타임은 누가 제작했나요?	205	"O,O,A"
"여자, 정혜'의 감독은(는) 누구인가요?"	"여자, 정혜'의 감독은(는) 이윤기 (영화 감독)(이)에요."	여자 정혜의 감독은 누구에요?	여자 정혜의 감독은 이윤기에요.	이윤기 (영화 감독)	감독	"여자, 정혜"	"여자, 정혜'의 감독은(는) 이윤기 (영화 감독)(이)에요."	여자 정혜의 감독은 이윤기에요.	530	"O,O,O"
환생 (2006년 영화)'의 감독은(는) 누구인가요?	환생 (2006년 영화)'의 감독은(는) 시미즈 다카시 (영화 감독)(이)에요.	환생(2006년 영화)'은 누가 감독했나요?	환생(2006년 영화)'은 시미즈 다카시(영화 감독)가 감독한 영화예요.	시미즈 다카시 (영화 감독)	감독	환생 (2006년 영화)	환생 (2006년 영화)'의 감독은(는) 누구인가요?	환생(2006년 영화)'은 누가 감독했나요?	325	"O,O,O"
발레교습소 (영화)'의 감독은(는) 누구인가요?	발레교습소 (영화)'의 감독은(는) 변영주(이)에요.	발레교습소는 누구의 작품인가요?	변영주 감독이 발레교습소를 찍었어요.	변영주	감독	발레교습소 (영화)	발레교습소 (영화)'의 감독은(는) 누구인가요?	발레교습소는 누구의 작품인가요?	313	"O,O,O"
'키드캅'의 감독은(는) 누구인가요?	'키드캅'의 감독은(는) 이준익(이)에요.	'키드캅'을 감독한 사람이 누구예요?	'키드캅'을 감독한 사람은 이준익이에요.	이준익	감독	키드캅	'키드캅'의 감독은(는) 이준익(이)에요.	'키드캅'을 감독한 사람은 이준익이에요.	558	"O,A,O"
'헬머니'의 감독은(는) 누구인가요?	'헬머니'의 감독은(는) 신한솔(이)에요.	헬머니는 누가 감독하였나요?	헬머니는 신한솔이 감독했어요	신한솔	감독	헬머니	'헬머니'의 감독은(는) 신한솔(이)에요.	헬머니는 신한솔이 감독했어요	368	"O,O,O"
'키드캅'의 감독은(는) 누구인가요?	'키드캅'의 감독은(는) 이준익(이)에요.	'키드캅'의 감독을 알려주세요.	이준익이라는 사람이 '키드캅'을 감독했어요.	이준익	감독	키드캅	'키드캅'의 감독은(는) 이준익(이)에요.	이준익이라는 사람이 '키드캅'을 감독했어요.	560	"O,O,O"
외계에서 온 우뢰매'의 감독은(는) 누구인가요?	외계에서 온 우뢰매'의 감독은(는) 김청기(이)에요.	'외계에서 온 우뢰매'라는 영화감독으로 유명한 사람은 누구인가요?	'외계에서 온 우뢰매'는 김청기 감독의 작품이에요.	김청기	감독	외계에서 온 우뢰매	외계에서 온 우뢰매'의 감독은(는) 누구인가요?	'외계에서 온 우뢰매'라는 영화감독으로 유명한 사람은 누구인가요?	127	"X,A,X"
'헬머니'의 감독은(는) 누구인가요?	'헬머니'의 감독은(는) 신한솔(이)에요.	누가 헬머니를 감독했나요?	신한솔은 헬머니의 감독했어요	신한솔	감독	헬머니	'헬머니'의 감독은(는) 신한솔(이)에요.	신한솔은 헬머니의 감독했어요	366	"O,X,X"
현기증 (2014년 영화)'의 감독은(는) 누구인가요?	현기증 (2014년 영화)'의 감독은(는) 이돈구(이)에요.	현기증(2014년 영화)을 지휘해서 만든 사람은 누구인가요?	현기증(2014년 영화)은 이돈구가 지휘해서 만들었어요.	이돈구	감독	현기증 (2014년 영화)	현기증 (2014년 영화)'의 감독은(는) 이돈구(이)에요.	현기증(2014년 영화)은 이돈구가 지휘해서 만들었어요.	486	"O,O,A"
로맨스 조'의 감독은(는) 누구인가요?	로맨스 조'의 감독은(는) 이광국(이)에요.	영화 로맨스 조의 감독님의 성함은 무엇인가요?	로맨스 조의 감독님 성함은 이광국이에요	이광국	감독	로맨스 조	로맨스 조'의 감독은(는) 이광국(이)에요.	로맨스 조의 감독님 성함은 이광국이에요	476	"O,O,O"
카멜레온의 시'의 감독은(는) 누구인가요?	카멜레온의 시'의 감독은(는) 노세한(이)에요.	카멜레온의 시'는 누가 감독했나요?	노세한이 카멜레온의 시'의 감독이에요	노세한	감독	카멜레온의 시	카멜레온의 시'의 감독은(는) 노세한(이)에요.	노세한이 카멜레온의 시'의 감독이에요	182	"O,O,O"
드림팀 (2012년 영화)'의 감독은(는) 누구인가요?	드림팀 (2012년 영화)'의 감독은(는) 올리비에 다한(이)에요.	2012년에 나온 드림팀을 찍은 감독이 누구예요?	드림팀은 올리비에 다한이 감독을 한 영화예요.	올리비에 다한	감독	드림팀 (2012년 영화)	드림팀 (2012년 영화)'의 감독은(는) 올리비에 다한(이)에요.	드림팀은 올리비에 다한이 감독을 한 영화예요.	432	"O,O,O"
블랙스톤 (영화)'의 감독은(는) 누구인가요?	블랙스톤 (영화)'의 감독은(는) 노경태(이)에요.	블랙스톤 (영화)제작한 사람은 누구인가요?	블랙스톤 (영화)는 노경태가 만들었어요.	노경태	감독	블랙스톤 (영화)	블랙스톤 (영화)'의 감독은(는) 노경태(이)에요.	블랙스톤 (영화)는 노경태가 만들었어요.	170	"A,O,O"
나를 찾아줘'의 감독은(는) 누구인가요?	나를 찾아줘'의 감독은(는) 데이비드 핀처(이)에요.	나를 찾아줘는 누가 감독인가요?	나를 찾아주는 데이비드 핀처가 감독이예요	데이비드 핀처	감독	나를 찾아줘	나를 찾아줘'의 감독은(는) 누구인가요?	나를 찾아줘는 누가 감독인가요?	185	"O,O,X"
그 후로도 오랫동안'의 감독은(는) 누구인가요?	그 후로도 오랫동안'의 감독은(는) 곽지균(이)에요.	'그 후로도 오랫동안'을 감독한 사람은 어떤 사람이 감독했을까요?	곽지균 감독이 '그 후로도 오랫동안'을 감독했어요.	곽지균	감독	그 후로도 오랫동안	그 후로도 오랫동안'의 감독은(는) 곽지균(이)에요.	곽지균 감독이 '그 후로도 오랫동안'을 감독했어요.	32	"O,O,O"
반짝반짝 두근두근'의 감독은(는) 누구인가요?	반짝반짝 두근두근'의 감독은(는) 김태균(이)에요.	이 영화 반짝반짝 두근두근을 제작한 사람은 누구인가요?	반짝반짝 두근두근을 제작한 사람은 김태균이에요.	김태균	감독	반짝반짝 두근두근	반짝반짝 두근두근'의 감독은(는) 김태균(이)에요.	반짝반짝 두근두근을 제작한 사람은 김태균이에요.	132	"O,O,A"
미션: 톱스타를 훔쳐라'의 감독은(는) 누구인가요?	미션: 톱스타를 훔쳐라'의 감독은(는) 노병하(이)에요.	미션:톱스타를 훔쳐라에서 감독직은 누가 맡았나요?	미션:톱스타를 훔쳐라의 감독직을 노병하가 맡았어요	노병하	감독	미션: 톱스타를 훔쳐라	미션: 톱스타를 훔쳐라'의 감독은(는) 누구인가요?	미션:톱스타를 훔쳐라에서 감독직은 누가 맡았나요?	175	"O,O,O"
위도 (영화)'의 감독은(는) 누구인가요?	위도 (영화)'의 감독은(는) 백정민(이)에요.	위도(영화)는 어느 감독이 만들었나요?	위도(영화)는 백정민감독이 만들었어요.	백정민	감독	위도 (영화)	위도 (영화)'의 감독은(는) 백정민(이)에요.	위도(영화)는 백정민감독이 만들었어요.	310	"O,O,O"
로사 (영화)'의 감독은(는) 누구인가요?	로사 (영화)'의 감독은(는) 맹관표(이)에요.	로사(영화)를 만든 사람은 누구인가요?	로사(영화)를 제작한 사람은 맹관표라고 해요.	맹관표	감독	로사 (영화)	로사 (영화)'의 감독은(는) 누구인가요?	로사(영화)를 만든 사람은 누구인가요?	213	"O,O,A"
남과 북 (1984년 영화)'의 감독은(는) 누구인가요?	남과 북 (1984년 영화)'의 감독은(는) 김기(이)에요.	남과 북 (1984년 영화)의 디렉터가 누구인가요?	남과 북 (1984년 영화)를 총괄한 사람은 김기이에요.	김기	감독	남과 북 (1984년 영화)	남과 북 (1984년 영화)'의 감독은(는) 누구인가요?	남과 북 (1984년 영화)의 디렉터가 누구인가요?	55	"O,O,O"
드림팀 (2012년 영화)'의 감독은(는) 누구인가요?	드림팀 (2012년 영화)'의 감독은(는) 올리비에 다한(이)에요.	2012년에 나온 드림팀을 찍은 감독이 누구예요?	드림팀은 올리비에 다한이 감독을 한 영화예요.	올리비에 다한	감독	드림팀 (2012년 영화)	드림팀 (2012년 영화)'의 감독은(는) 누구인가요?	2012년에 나온 드림팀을 찍은 감독이 누구예요?	431	"O,O,O"
'만신'의 감독은(는) 누구인가요?	'만신'의 감독은(는) 박찬경(이)에요.	만신을 찍은 감독은 누구인가요?	만신은 박찬경 감독의 작품이에요.	박찬경	감독	만신	'만신'의 감독은(는) 누구인가요?	만신을 찍은 감독은 누구인가요?	279	"O,O,O"
천 번을 불러도'의 감독은(는) 누구인가요?	천 번을 불러도'의 감독은(는) 신성섭(이)에요.	천 번을 불러도' 는 누가 만들었나요?	천 번을 불러도'는 신성섭 감독이 만들었어요	신성섭	감독	천 번을 불러도	천 번을 불러도'의 감독은(는) 누구인가요?	천 번을 불러도' 는 누가 만들었나요?	337	"O,O,O"
현기증 (2014년 영화)'의 감독은(는) 누구인가요?	현기증 (2014년 영화)'의 감독은(는) 이돈구(이)에요.	현기증(2014년 영화)은 누가 지휘해서 만들었나요?	현기증(2014년 영화)을 지휘해서 만든 사람은 이돈구에요.	이돈구	감독	현기증 (2014년 영화)	현기증 (2014년 영화)'의 감독은(는) 이돈구(이)에요.	현기증(2014년 영화)을 지휘해서 만든 사람은 이돈구에요.	488	"O,O,A"
어바웃 타임'의 감독은(는) 누구인가요?	어바웃 타임'의 감독은(는) 리처드 커티스(이)에요.	어바웃 타임은 어떤 사람이 만들었나요?	리처드 커티스가 어바웃 타임을 제작했어요.	리처드 커티스	감독	어바웃 타임	어바웃 타임'의 감독은(는) 리처드 커티스(이)에요.	리처드 커티스가 어바웃 타임을 제작했어요.	208	"O,O,X"
