원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	초기작업번호	보기	작업데이터	OX작업번호	OX작업
'3일낮_3일밤'의 장르은(는) 무엇인가요?	'3일낮_3일밤'의 장르은(는) 로맨스(이)에요.	3일낮 3일밤은 어떤 장르인가요?	3일낮 3일밤는 로맨스에 해당해요.	로맨스	장르	3일낮_3일밤	41	'3일낮_3일밤'의 장르은(는) 로맨스(이)에요.	3일낮 3일밤는 로맨스에 해당해요.	322	"O,X,O"
다케다노미야_쓰네요시_친왕'의 생일은(는) 언제인가요?	'다케다노미야_쓰네요시_친왕'의 생일은(는) 1909-03-04(이)에요.	다케다노미야 쓰네요시 친왕이 태어난 날은 언제인가요?	다케다노미야 쓰네요시 친왕이 태어난 날은 1909년 3월 4일이에요.	1909.3.4	생일	다케다노미야_쓰네요시_친왕	89	'다케다노미야_쓰네요시_친왕'의 생일은(는) 1909-03-04(이)에요.	다케다노미야 쓰네요시 친왕이 태어난 날은 1909년 3월 4일이에요.	706	"O,O,O"
'가수왕'의 개봉 시기은(는) 언제인가요?	'가수왕'의 개봉 시기은(는) 1975년(이)에요.	영화 가수왕이 개봉한 시기는 언제인가요?	영화 가수왕이 개봉한 시기는 1975년 이에요.	1975년	개봉 시기	가수왕	7	'가수왕'의 개봉 시기은(는) 1975년(이)에요.	영화 가수왕이 개봉한 시기는 1975년 이에요.	54	"O,O,O"
'고다이라_구니히코'은(는) 수상내역(으)로 무엇이 있나요?	고다이라_구니히코'은(는) 수상내역(으)로 필즈상이 있어요.	고다이라 구니히코는 어떤 내역으로 수상했나요?	필즈상이 고다이라 구니히코의 수상내역이에요.	필즈상	수상내역	고다이라_구니히코	294	'고다이라_구니히코'은(는) 수상내역(으)로 무엇이 있나요?	고다이라 구니히코는 어떤 내역으로 수상했나요?	2317	"X,O,O"
남홍길'은(는) 어디 소속인가요?	남홍길' 대구경북과학기술원 소속이에요.	남홍길은 어디서 근무하나요?	남홍길은 DGIST에서 일해요.	대구경북과학기술원	소속	남홍길	287	남홍길'은(는) 어디 소속인가요?	남홍길은 어디서 근무하나요?	2265	"A,O,A"
48미터'은(는) 어느 나라 영화인가요?	48미터'은(는) 대한민국의 영화예요.	48미터가 제작된 나라는 어디인가요?	48미터는 대한민국에서 만든 영화예요	대한민국	국가	48미터	22	48미터'은(는) 대한민국의 영화예요.	48미터는 대한민국에서 만든 영화예요	172	"O,O,O"
'강남대학교'의 표어은(는) 무엇인가요?	'강남대학교'의 표어은(는) 경천애인(이)에요.	무엇이 강남대학교의 표어예요?	경천애인은 강남대학교의 표어예요.	경천애인	표어	강남대학교	392	'강남대학교'의 표어은(는) 무엇인가요?	무엇이 강남대학교의 표어예요?	3093	"O,O,O"
'라플라타_강'의 하구은(는) 어디인가요?	'라플라타_강'의 하구은(는) 대서양(이)에요.	라플라타 강의 마지막 부분은 어디인가요?	라플라타 강의 마지막 부분은 대서양이에요.	대서양	하구	라플라타_강	279	'라플라타_강'의 하구은(는) 어디인가요?	라플라타 강의 마지막 부분은 어디인가요?	2197	"O,O,A"
'게르트_팔팅스'은(는) 수상내역(으)로 무엇이 있나요?	게르트_팔팅스'은(는) 수상내역(으)로 필즈상이 있어요.	게르트 팔팅스는 어떤 상을 받은 내역이 있나요?	게르트 팔팅스는 필즈상을 받았어요.	필즈상	수상내역	게르트_팔팅스	292	'게르트_팔팅스'은(는) 수상내역(으)로 무엇이 있나요?	게르트 팔팅스는 어떤 상을 받은 내역이 있나요?	2305	"O,O,O"
게르하르트_호흐실트'의 출생지는 어디인가요?	게르하르트_호흐실트'의 출생지는 독일_제국(이)에요.	게르하르트 호흐실트는 어디에서 태어났나요?	독일 제국에서 게르하르트 호흐실트가 태어났어요.	독일_제국	출생지	게르하르트_호흐실트	322	게르하르트_호흐실트'의 출생지는 독일_제국(이)에요.	독일 제국에서 게르하르트 호흐실트가 태어났어요.	2540	"O,O,O"
'2008년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	'2008년_하계_올림픽'의 참가국은(는) 204개국(이)에요.	하계 올림픽중에 2008년에 치러진 올림픽의 참가국은 어느정도 인가요?	204개국 이에요.	204개국	참가국	2008년_하계_올림픽	175	'2008년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	하계 올림픽중에 2008년에 치러진 올림픽의 참가국은 어느정도 인가요?	1379	"O,O,O"
'런던'의 인구은(는) 얼마나 되나요?	'런던'의 인구은(는) 8538689명(이)에요.	런던의 인구는 어떻게 되요?	런던의 인구는 8538689명이예요.	8538689명	인구	런던	230	'런던'의 인구은(는) 얼마나 되나요?	런던의 인구는 어떻게 되요?	1809	"O,O,O"
'게이오기주쿠_대학'의 총장은(는) 누구인가요?	'게이오기주쿠_대학'의 총장은(는) 세이케_아쓰시(이)에요.	누가 게이오기주쿠 대학의 총장인가요?	세이케 아쓰시는 게이오기주쿠 대학의 총장이예요.	세이케_아쓰시	총장	게이오기주쿠_대학	385	'게이오기주쿠_대학'의 총장은(는) 세이케_아쓰시(이)에요.	세이케 아쓰시는 게이오기주쿠 대학의 총장이예요.	3040	"O,O,O"
'게이오기주쿠_대학'의 총장은(는) 누구인가요?	'게이오기주쿠_대학'의 총장은(는) 세이케_아쓰시(이)에요.	누가 게이오기주쿠 대학의 총장으로 있나요?	게이오기주쿠 대학은 세이케 아쓰시가 총장으로 있어요.	세이케_아쓰시	총장	게이오기주쿠_대학	385	'게이오기주쿠_대학'의 총장은(는) 누구인가요?	누가 게이오기주쿠 대학의 총장으로 있나요?	3043	"O,O,O"
1992년_하계_올림픽'의 개최 도시은(는) 어디인가요?	1992년_하계_올림픽'의 개최 도시은(는) 바르셀로나(이)에요.	1992년 하계 올림픽이 개최된 도시는 어디인가요?	1992년 하계 올림픽이 개최된 도시는 바르셀로나에요.	바르셀로나	개최 도시	1992년_하계_올림픽	155	1992년_하계_올림픽'의 개최 도시은(는) 바르셀로나(이)에요.	1992년 하계 올림픽이 개최된 도시는 바르셀로나에요.	1218	"O,O,O"
'권동진'은(는) 수상내역(으)로 무엇이 있나요?	권동진'은(는) 수상내역(으)로 건국훈장이(가) 있어요.	권동진의 수상경력이 어떻게 되나요?	권동진은 건국훈장을 받은 수상경력이 있어요.	건국훈장	수상내역	권동진	96	권동진'은(는) 수상내역(으)로 건국훈장이(가) 있어요.	권동진은 건국훈장을 받은 수상경력이 있어요.	764	"O,O,O"
디트로이트'은(는) 어느 나라에 있나요?	디트로이트'은(는) 미국에 있어요.	디트로이트는 어디에 위치하고 있나요?	디트로이트는 미국에 위치하고 있어요.	미국	국가	디트로이트	199	디트로이트'은(는) 미국에 있어요.	디트로이트는 미국에 위치하고 있어요.	1570	"O,O,O"
단_셰흐트만'은(는) 어디 소속인가요?	단_셰흐트만' 아이오와_주립_대학교 소속이에요.	단 셰흐트만의 소속은 어디인가요?	단_셰흐트만은 아이오와 주립 대학교에 소속되어 있어요.	아이오와_주립_대학교	소속	단_셰흐트만	290	단_셰흐트만' 아이오와_주립_대학교 소속이에요.	단_셰흐트만은 아이오와 주립 대학교에 소속되어 있어요.	2290	"O,X,O"
'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 누구인가요?	'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 세키_토모카즈(이)에요.	누가 극장판 도라에몽 신 진구의 우주개척사 주연이예요?	극장판 도라에몽 신 진구의 우주개척사에서 세키 토모카즈가 주연을 했어요.	세키_토모카즈	주연	극장판_도라에몽:_신_진구의_우주개척사	54	'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 누구인가요?	누가 극장판 도라에몽 신 진구의 우주개척사 주연이예요?	431	"O,O,O"
'도루_강'의 발원국은(는) 어디인가요?	'도루_강'의 발원국은(는) 스페인(이)에요.	도루강의 발원지는 어느 국가인가요?	스페인이 도루강의 발원지에요.	스페인	발원국	도루_강	258	'도루_강'의 발원국은(는) 스페인(이)에요.	스페인이 도루강의 발원지에요.	2036	"O,O,O"
나일_강'은(는) 어디에 있나요?	나일_강'은(는) 르완다에 있어요.	나일강의 위치는 어디인가요?	나일강이 위치한 곳은 르완다에요.	르완다	국가	나일_강	235	나일_강'은(는) 르완다에 있어요.	나일강이 위치한 곳은 르완다에요.	1850	"O,O,O"
'구_요도_강'의 하구은(는) 어디인가요?	'구_요도_강'의 하구은(는) 오사카_만(이)에요.	구_요도_강의 하구가 어디인가요?	구_요도_강은 오사카_만이 하구에요	오사카_만	하구	구_요도_강	272	'구_요도_강'의 하구은(는) 오사카_만(이)에요.	구_요도_강은 오사카_만이 하구에요	2152	"O,O,O"
UCLA_데이비드_게펜_의과대학'의 설립 시기는 언제인가요?	UCLA_데이비드_게펜_의과대학'의 설립 시기는 1951년이에요.	UCLA 데이비드 게펜 의과대학의 설립은 몇년도인가요?	1951년에 UCLA 데이비드 게펜 의과대학이 설립되었어요.	1951	설립 시기	UCLA_데이비드_게펜_의과대학	371	UCLA_데이비드_게펜_의과대학'의 설립 시기는 언제인가요?	UCLA 데이비드 게펜 의과대학의 설립은 몇년도인가요?	2931	"O,O,A"
갠지스_강'은(는) 어디에 있나요?	갠지스_강'은(는) 방글라데시에 있어요.	갠지스 강은 어느 나라에 있나요?	방글라데시에 갠지스 강이 있어요.	방글라데시	국가	갠지스_강	231	갠지스_강'은(는) 방글라데시에 있어요.	방글라데시에 갠지스 강이 있어요.	1818	"O,O,O"
고든_무어'의 출생지는 어디인가요?	고든_무어'의 출생지는 미국(이)에요.	어디가 고든 무어의 출생지예요?	고든 무어는 미국에서 태어났어요.	미국	출생지	고든_무어	328	고든_무어'의 출생지는 어디인가요?	어디가 고든 무어의 출생지예요?	2587	"O,O,O"
'각설이_품바_타령'의 개봉 시기은(는) 언제인가요?	'각설이_품바_타령'의 개봉 시기은(는) 1984년(이)에요.	언제가 각설이 품바 타령의 개봉시기인가요?	1984년에 각설이 품바 타령이 개봉됐어요.	1984년	개봉 시기	각설이_품바_타령	10	'각설이_품바_타령'의 개봉 시기은(는) 언제인가요?	언제가 각설이 품바 타령의 개봉시기인가요?	73	"O,O,O"
'도루_강'의 발원국은(는) 어디인가요?	'도루_강'의 발원국은(는) 스페인(이)에요.	도루 강의 발원국은 어디예요?	두로 강의 발원국은 스페인이예요.	스페인	발원국	도루_강	258	'도루_강'의 발원국은(는) 어디인가요?	도루 강의 발원국은 어디예요?	2037	"O,O,O"
'강원대학교'의 마스코트은(는) 무엇인가요?	'강원대학교'의 마스코트은(는) 마스코트(이)에요.	강원대학교를 상징하는 캐릭터는 무엇인가요?	강원대학교를 상징하는 캐릭터는 마스코트에요.	마스코트	마스코트	강원대학교	365	'강원대학교'의 마스코트은(는) 무엇인가요?	강원대학교를 상징하는 캐릭터는 무엇인가요?	2885	"A,O,O"
'데니스_설리번'의 직업은(는) 무엇인가요?	'데니스_설리번'의 직업은(는) 수학자(이)에요.	데니스_설리번이 하는 일은 무엇인가요?	데니스_설리번은 직업으로 수학을 연구해요.	수학자	직업	데니스_설리번	315	'데니스_설리번'의 직업은(는) 수학자(이)에요.	데니스_설리번은 직업으로 수학을 연구해요.	2492	"O,O,A"
'가족시네마_(2012년_영화)'의 등급은(는) 무엇인가요?	'가족시네마_(2012년_영화)'의 등급은(는) 15세 이용가(이)에요.	가족시네마는 몇살부터 볼 수 있나요?	가족시네마는 15세 이상부터 볼 수 있어요.	15세 이용가	등급	가족시네마_(2012년_영화)	36	'가족시네마_(2012년_영화)'의 등급은(는) 무엇인가요?	가족시네마는 몇살부터 볼 수 있나요?	287	"A,O,A"
UCLA_데이비드_게펜_의과대학'은(는) 어느 나라에 있나요?	UCLA_데이비드_게펜_의과대학'은(는) 미국에 있어요.	어디에 UCLA 데이비드 게펜 의과대학이 있나요?	미국에 UCLA의 데이비드 게펜 의과대학이 있어요.	미국	국가	UCLA_데이비드_게펜_의과대학	341	UCLA_데이비드_게펜_의과대학'은(는) 미국에 있어요.	미국에 UCLA의 데이비드 게펜 의과대학이 있어요.	2696	"O,O,O"
'NANA'의 장르은(는) 무엇인가요?	'NANA'의 장르은(는) 순정만화(이)에요.	NANA는 어떤 종류의 만화인가요?	NANA는 순정만화류의 작품이에요.	순정만화	장르	NANA	46	'NANA'의 장르은(는) 순정만화(이)에요.	NANA는 순정만화류의 작품이에요.	368	"O,O,O"
'UCLA_데이비드_게펜_의과대학'의 마스코트은(는) 무엇인가요?	'UCLA_데이비드_게펜_의과대학'의 마스코트은(는) 곰(이)에요.	UCLA 데이비드 게펜 의과대학 에서의 마스코트는 무엇인가요?	UCLA 데이비드 게펜 의과대학의 마스코트는 곰이에요.	곰	마스코트	UCLA_데이비드_게펜_의과대학	361	'UCLA_데이비드_게펜_의과대학'의 마스코트은(는) 곰(이)에요.	UCLA 데이비드 게펜 의과대학의 마스코트는 곰이에요.	2856	"O,O,O"
강원대학교'은 어느 도시에 있나요?	강원대학교'은(는) 삼척시에 있어요.	어느 도시에 강원대학교가 있나요?	삼척시를 가면 강원대학교가 있어요.	삼척시	도시	강원대학교	353	강원대학교'은 어느 도시에 있나요?	어느 도시에 강원대학교가 있나요?	2789	"O,O,O"
나카야마_다다시'의 출신대학은 어디인가요?	나카야마_다다시'의 출신대학은 도쿄_대학(이)에요.	나카야마_다다시가 나온 대학의 이름은 무엇인가요?	나카야마_다다시가 나온 대학은 도쿄_대학이에요.	도쿄_대학	출신대학	나카야마_다다시	336	나카야마_다다시'의 출신대학은 어디인가요?	나카야마_다다시가 나온 대학의 이름은 무엇인가요?	2653	"O,O,O"
'2010년_동계_올림픽'의 모토은(는) 무엇인가요?	'2010년_동계_올림픽'의 모토은(는) 뜨거운 가슴으로(이)에요.	2010년_동계_올림픽은 어떤 모토를 가지고 있나요?	2010년_동계_올림픽은 뜨거운 가슴으로를 모토로 가지고 있어요.	뜨거운 가슴으로	모토	2010년_동계_올림픽	164	'2010년_동계_올림픽'의 모토은(는) 무엇인가요?	2010년_동계_올림픽은 어떤 모토를 가지고 있나요?	1287	"O,O,O"
나이아가라폴스_(온타리오_주)'은(는) 어느 나라에 있나요?	나이아가라폴스_(온타리오_주)'은(는) 캐나다에 있어요.	나이아가라폴스(온타리오 주)를 포함하고 있는 나라는 어디인가요?	나이아가라폴스(온타리오 주)를 포함하고 있는 나라는 캐나다에요.	캐나다	국가	나이아가라폴스_(온타리오_주)	193	나이아가라폴스_(온타리오_주)'은(는) 캐나다에 있어요.	나이아가라폴스(온타리오 주)를 포함하고 있는 나라는 캐나다에요.	1520	"O,O,O"
'1996년_하계_올림픽'의 모토은(는) 무엇인가요?	'1996년_하계_올림픽'의 모토은(는) 세기의 축하(이)에요.	1996년 하계 올림픽의 표어는 무엇인가요?	1996년 하계 올림픽의 표어는 세기의 축하에요.	세기의 축하	모토	1996년_하계_올림픽	168	'1996년_하계_올림픽'의 모토은(는) 무엇인가요?	1996년 하계 올림픽의 표어는 무엇인가요?	1317	"O,O,O"
'우리별_일호와_얼룩소'의 관객수은(는) 얼마나 되나요?	'우리별_일호와_얼룩소'의 관객수은(는) 44411명(이)에요.	리별_일호와_얼룩소'는 몇명이 관람했나요?	'우리별_일호와_얼룩소'는 44411명의 관람객이 보았어요.	44411명	관객수	우리별_일호와_얼룩소	19	'우리별_일호와_얼룩소'의 관객수은(는) 얼마나 되나요?	리별_일호와_얼룩소'는 몇명이 관람했나요?	145	"O,O,O"
'나일_강'의 길이은(는) 얼마인가요?	'나일_강'의 길이은(는) 6690km(이)에요.	나일 강의 길이는 어떻게 되나요?	6690km가 나일 강의 길이예요.	6690km	길이	나일_강	243	'나일_강'의 길이은(는) 6690km(이)에요.	6690km가 나일 강의 길이예요.	1914	"O,O,O"
강근호'은(는) 어디에서 복무했나요?	강근호'의 대한제국에서 복무했어요.	강근호가 복무한 곳은 어디인가요?	강근호가 복무한 곳은 대한제국이에요.	대한제국	복무	강근호	75	강근호'은(는) 어디에서 복무했나요?	강근호가 복무한 곳은 어디인가요?	597	"O,O,O"
고든_무어'의 출생지는 어디인가요?	고든_무어'의 출생지는 미국(이)에요.	어디가 고든 무어의 출생지예요?	고든 무어는 미국에서 태어났어요.	미국	출생지	고든_무어	328	고든_무어'의 출생지는 미국(이)에요.	고든 무어는 미국에서 태어났어요.	2588	"O,O,O"
'런던'의 면적은(는) 얼마나 되나요?	'런던'의 면적은(는) 1572km^2(이)에요.	런던의 넓이는 얼마일까요?	런던의 넓이는 1572km^2이에요.	1572km^2	면적	런던	210	'런던'의 면적은(는) 얼마나 되나요?	런던의 넓이는 얼마일까요?	1653	"O,O,O"
'강근호'은(는) 기타이력(으)로 무엇이 있나요?	강근호'은(는) 기타이력(으)로 대한민국_육군사관학교이(가) 있어요.	강근호의 기타 이력에는 무엇이 있나요?	강근호는 대한민국 육군사관학교를 나온 기타이력이 있어요.	대한민국_육군사관학교	기타이력	강근호	63	강근호'은(는) 기타이력(으)로 대한민국_육군사관학교이(가) 있어요.	강근호는 대한민국 육군사관학교를 나온 기타이력이 있어요.	498	"O,O,O"
'런던'의 인구은(는) 얼마나 되나요?	'런던'의 인구은(는) 8538689명(이)에요.	런던에 사는 사람은 몇명인가요?	런던에는 8538659명이 살고 있어요	8538689명	인구	런던	230	'런던'의 인구은(는) 8538689명(이)에요.	런던에는 8538659명이 살고 있어요	1814	"O,O"
'그단스크'의 면적은(는) 얼마나 되나요?	'그단스크'의 면적은(는) 262km^2(이)에요.	그단스크의 면적은 얼마인가요?	그단스크는 262km^2의 면적을 가지고 있어요.	262km^2	면적	그단스크	201	'그단스크'의 면적은(는) 얼마나 되나요?	그단스크의 면적은 얼마인가요?	1587	"O,O,O"
'갠지스_강'의 하구은(는) 어디인가요?	'갠지스_강'의 하구은(는) 갠지스_삼각주(이)에요.	갠지스 강의 끝은 어디인가요?	갠지스 강의 끝은 갠지스 삼각주예요.	갠지스_삼각주	하구	갠지스_강	271	'갠지스_강'의 하구은(는) 어디인가요?	갠지스 강의 끝은 어디인가요?	2137	"O,O,O"
'게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 무엇이 있나요?	게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 마리아_테레지아_군사훈장이(가) 있어요.	게오르크 루트비히 폰 트라프의 수상내역으로는 무엇이 있나요?	수상내역으로 마리아 테레지아 군사훈장이 있어요.	마리아_테레지아_군사훈장	수상내역	게오르크_루트비히_폰_트라프	92	'게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 무엇이 있나요?	게오르크 루트비히 폰 트라프의 수상내역으로는 무엇이 있나요?	729	"O,O,O"
'2000년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	'2000년_하계_올림픽'의 참가국은(는) 199개국(이)에요.	2000년 하계 올림픽에 얼마나 많은 국가가 참가했나요?	199개의 국가가가 2000년 하계 올림픽에 참가했어요.	199개국	참가국	2000년_하계_올림픽	174	'2000년_하계_올림픽'의 참가국은(는) 199개국(이)에요.	199개의 국가가가 2000년 하계 올림픽에 참가했어요.	1370	"O,O,O"
'1998년_동계_올림픽'의 개회선언은(는) 누가 했나요?	1998년_동계_올림픽'의 개회선언은(는) 아키히토이(가) 했어요.	누가 1998년 동계 올림픽의 개회선언을 했나요?	아키히토는 1998년 동계 올림픽 개회선언을 했어요.	아키히토	개회선언	1998년_동계_올림픽	146	1998년_동계_올림픽'의 개회선언은(는) 아키히토이(가) 했어요.	아키히토는 1998년 동계 올림픽 개회선언을 했어요.	1148	"O,O,O"
강근호'은(는) 어디에서 복무했나요?	강근호'의 대한민국_육군에서 복무했어요.	강근호는 어느 군대에서 복무했나요?	강근호는 군대를 대한민국 육군으로 다녀왔어요.	대한민국_육군	복무	강근호	74	강근호'은(는) 어디에서 복무했나요?	강근호는 어느 군대에서 복무했나요?	591	"O,X,A"
개똥이'은(는) 어느 나라 영화인가요?	개똥이'은(는) 대한민국의 영화예요.	영화 개똥이는 어느 나라 작품인가요?	영화 개똥이는 대한민국 작품이에요.	대한민국	국가	개똥이	29	개똥이'은(는) 어느 나라 영화인가요?	영화 개똥이는 어느 나라 작품인가요?	225	"O,O,O"
'그리고리_마르굴리스'의 연구분야은(는) 무엇인가요?	'그리고리_마르굴리스'의 연구분야은(는) 수학(이)에요.	그리고리 마르굴리스는 무엇을 연구했던 사람인가요?	그리고리 마르굴리스는 수학을 연구했던 사람이에요.	수학	연구분야	그리고리_마르굴리스	308	'그리고리_마르굴리스'의 연구분야은(는) 무엇인가요?	그리고리 마르굴리스는 무엇을 연구했던 사람인가요?	2431	"O,O,A"
까오_반_비엔'의 생일은(는) 언제인가요?	'까오_반_비엔'의 생일은(는) 1921-12-21(이)에요.	까오 반 비엔은 언제 태어났나요?	1921-12-21에 까오 반 비엔이 태어났어요	1921.12.21	생일	까오_반_비엔	87	'까오_반_비엔'의 생일은(는) 1921-12-21(이)에요.	1921-12-21에 까오 반 비엔이 태어났어요	690	"O,O,O"
게르하르트_호흐실트'은(는) 어디 소속인가요?	게르하르트_호흐실트' 일리노이_대학교_어배너-섐페인 소속이에요.	게르하르트_호흐실트가 몸 담고 있는 곳은 어디에요?	게르하르트_호흐실트가 속해 있는 곳은  일리노이대학교 어배너섐페인이에요.	일리노이_대학교_어배너-섐페인	소속	게르하르트_호흐실트	281	게르하르트_호흐실트' 일리노이_대학교_어배너-섐페인 소속이에요.	게르하르트_호흐실트가 속해 있는 곳은  일리노이대학교 어배너섐페인이에요.	2220	"O,O,X"
'나일_강'의 하구은(는) 어디인가요?	'나일_강'의 하구은(는) 이집트(이)에요.	나일강의 하구의 이름은 무엇인가요?	나일강 하구의 이름은 이집트에요	이집트	하구	나일_강	273	'나일_강'의 하구은(는) 이집트(이)에요.	나일강 하구의 이름은 이집트에요	2156	"X,O,O"
갠지스_강'은(는) 어디에 있나요?	갠지스_강'은(는) 인도에 있어요.	어느 나라에 갠지스 강이 있나요?	인도에는 갠지스 강이 있어요.	인도	국가	갠지스_강	232	갠지스_강'은(는) 어디에 있나요?	어느 나라에 갠지스 강이 있나요?	1827	"O,O,A"
2010년_동계_올림픽'의 개최 도시은(는) 어디인가요?	2010년_동계_올림픽'의 개최 도시은(는) 밴쿠버(이)에요.	2010년 동계 올림픽의 개최지는 어디였나요?	그 동계 올림픽의 개최지는 벤쿠버에요.	밴쿠버	개최 도시	2010년_동계_올림픽	156	2010년_동계_올림픽'의 개최 도시은(는) 밴쿠버(이)에요.	그 동계 올림픽의 개최지는 벤쿠버에요.	1224	"X,X,X"
고다이라_구니히코'의 출생지는 어디인가요?	고다이라_구니히코'의 출생지는 일본(이)에요.	어디가 고다이라 구니히코의 출생지인가요?	일본이 고다이라 구니히코의 출생지예요.	일본	출생지	고다이라_구니히코	327	고다이라_구니히코'의 출생지는 일본(이)에요.	일본이 고다이라 구니히코의 출생지예요.	2578	"O,O,O"
'라스크루시스'의 인구은(는) 얼마나 되나요?	'라스크루시스'의 인구은(는) 97618명(이)에요.	라스크루시스의 인구는 몇 명인가요?	라스크루시스에는 97618명의 인구가 있어요	97618명	인구	라스크루시스	229	'라스크루시스'의 인구은(는) 97618명(이)에요.	라스크루시스에는 97618명의 인구가 있어요	1808	"O,O,O"
'7급_공무원_(영화)'의 개봉 시기은(는) 언제인가요?	'7급_공무원_(영화)'의 개봉 시기은(는) 2009년(이)에요.	언제 7급 공무원 영화를 개봉하나요?	2009년은 7급 공무원의 영화 개봉시기예요.	2009년	개봉 시기	7급_공무원_(영화)	3	'7급_공무원_(영화)'의 개봉 시기은(는) 2009년(이)에요.	2009년은 7급 공무원의 영화 개봉시기예요.	20	"O,X,O"
